序号     需求	                                                                       类型
1       当用户以学生身份登录时，系统应为其开放学生用户的权限和功能。                         ST
2       当用户以教师身份登录时，系统应为其开放教师用户的权限和功能。                         ST
3       当学生进入课题选择阶段时，系统应为其展示教师用户在系统中所预设的所有课题的信息。         EV
4       系统应当为教师用户提供陈列课题信息的入口。                                        UB
5       当学生用户记录已读过的文献时，系统应当调用上传程序将学生提交的内容上传。                           EV
6       当学生用户填写文献精读内容时，系统应当调用上传程序将学生提交的内容上传。                           EV
7       当学生用户填写文献总结内容时，系统应当调用上传程序将学生提交的内容上传。                           EV
8       当教师用户查看学生读过的文献列表时，系统应为其展示该名学生在系统中记录的所有已读文献。                           EV
9       当教师用户点评学生的文献学习情况时，系统应当调用上传程序将教师提交的内容上传。                           EV
10     当出现网络连接异常或网络超时等错误时，应调用错误处理程序处理异常。                    UW
11     当学生用户记录一篇已读文献时，系统可以为其推荐与之相关或相似内容的文献。                   OP
12     当学生用户总结研究方向的创新点时，系统应当调用上传程序将学生提交的内容上传。                           EV
13       当教师用户查看学生总结的创新点时，系统应为其展示该名学生在系统中总结的所有研究方向创新点。                           EV
14       当教师用户点评学生总结出的创新点时，系统应当调用上传程序将教师提交的内容上传。                           EV
15     当学生用户提出自己关于研究方案与技术路线的最新想法时，系统应当调用上传程序将学生提交的内容上传。                           EV
16       系统应为教师用户展示各个学生关于课题的研究方案及技术路线的最新想法。                   UB
17     当学生用户提交自己专利撰写的最新成果时，系统应当调用上传程序将学生提交的内容上传。                           EV
18       系统应为教师用户展示各个学生专利撰写的最新进度与成果。                   UB
19       当学生在系统中提交实验所需的材料时，系统应当调用上传程序将学生提交的内容上传。          EV
20      当学生在系统中提交的实验内容有必填项的缺失时，系统应当调用错误处理程序处理异常。         UW
21      系统应为教师用户展示各个学生实验报告撰写的最新进度。                   UB
22      系统应当为学生提供论文撰写和提交的入口与平台。                                     UB
23       系统应为教师用户展示各个学生论文撰写的最新进度或修改结果。                   UB
24      当教师审查到学生的论文有格式错误时，系统会退回并提醒学生做出改动。                    EV
25       当学生在系统中提交修改后的论文时，系统应当调用上传程序将学生提交的内容上传。          EV
26      当教师准备向期刊投稿某篇论文时，系统可以根据课题研究方向为其推荐专业相关度高的期刊。       OP
27      当管理员依据现实中的人员变动调整系统中的用户数量时，系统应当将改动同步上传至系统数据库。 EV
28      当管理员误将某个学生同时划分至不同的实验室组别中时，系统应给出错误提示并取消此次修改。    UW
